image,category,response,correct,RT,IT,MT,block,trial,pressure,mapping,block_start_global,trial_start_global,fixation_onset_global,stim_onset_global,movement_start_global,response_time_global,timeout_time_global
Nonliving_Things\Buildings\mill.jpg,nonliving,right,1,0.6548367999785114,0.012839299975894392,0.641997500002617,4,8,pressure,left,173.9297252999968,182.7808600999997,182.80346600001212,183.2491779999982,183.2561573999992,183.88737010001205,
Nonliving_Things\Buildings\shanty.jpg,nonliving,right,1,0.6579680000140797,0.013147100020432845,0.6448208999936469,4,9,pressure,left,173.9297252999968,183.89812410000013,183.9205343000067,184.3636478999979,184.37054130001343,185.0043580000056,
Living_Things\Birds\seagull.jpg,living,left,1,0.6089407999825198,0.015003699983935803,0.593937099998584,4,10,pressure,left,173.9297252999968,185.01531370001612,185.03750970002147,185.4831882000144,185.490864100022,186.07303800000227,
Living_Things\Animals\elephant.jpg,living,left,1,0.6543915999936871,0.012956399994436651,0.6414351999992505,4,11,pressure,left,173.9297252999968,186.08478430000832,186.1033555000031,186.5492712999985,186.55665920002502,187.18762040001457,
Nonliving_Things\Buildings\castle.jpg,nonliving,right,1,0.6269146999984514,0.01440129999537021,0.6125134000030812,4,12,pressure,left,173.9297252999968,187.1980584000121,187.22011070000008,187.66200360000948,187.6706172999984,188.27124520001234,
Living_Things\Insects\moth.jpg,living,left,1,0.6763511000026483,0.015638799988664687,0.6607123000139836,4,13,pressure,left,173.9297252999968,188.28309400001308,188.30350740000722,188.74448180000763,188.75405879999744,189.40429800000857,
Living_Things\Insects\ladybird.jpg,living,left,1,0.6429094999912195,0.013473099999828264,0.6294363999913912,4,14,pressure,left,173.9297252999968,189.41469600002165,189.43692040001042,189.87888410000596,189.88696360000176,190.50441250001313,
Nonliving_Things\Clothing\socks.jpg,nonliving,right,1,0.653481900022598,0.011008800007402897,0.6424731000151951,4,15,pressure,left,173.9297252999968,190.51637369999662,190.53672870001174,190.98510380001971,190.99073980000685,191.6211433999997,
Living_Things\Flowers\poppy.jpg,living,left,1,0.5721762999892235,0.011515899997903034,0.5606603999913204,4,16,pressure,left,173.9297252999968,191.63320120002027,191.65357910000603,192.09794930001954,192.1038194000139,192.65434780000942,
Nonliving_Things\Musical_Inst\drum.jpg,nonliving,right,1,0.6092248999921139,0.01574360000086017,0.5934812999912538,4,17,pressure,left,173.9297252999968,192.6644457000075,192.68706470000325,193.12897940000403,193.13813750000554,193.72092910000356,
